 ,Angle,Length
1,0,58.492
2,0,58.794
3,0,58.568
4,0,58.455
5,0,58.191
6,0,57.513
7,0,56.608
8,0,55.817
9,0,54.912
10,180,54.045
11,180,53.141
12,180,51.558
13,180,50.879
14,180,50.163
15,180,49.485
16,180,48.807
17,180,48.204
18,180,47.563
19,180,46.997
20,180,46.508
21,180,45.905
22,180,45.415
23,180,44.962
24,180,44.472
25,0,43.945
26,0,43.455
27,0,43.116
28,0,42.739
29,0,42.324
30,0,42.023
31,0,41.683
